id,machine_id,timestamp,type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,tool_wear_hours,target,failure_type
22,M_H_01,2024-01-02 05:00:00+00,H,300.50,311.20,1397,45.20,2,21,0,No Failure
23,M_H_01,2024-01-02 06:00:00+00,H,303.60,312.40,1480,50.70,2,22,0,No Failure
24,M_H_01,2024-01-02 07:00:00+00,H,297.60,309.60,1278,50.40,2,23,0,No Failure
25,M_H_01,2024-01-02 08:00:00+00,H,301.60,310.50,1602,32.30,2,24,0,Random Failures
26,M_H_01,2024-01-02 09:00:00+00,H,298.30,308.00,1637,30.80,2,25,0,No Failure
27,M_H_01,2024-01-02 10:00:00+00,H,300.70,309.50,2007,19.70,2,26,0,No Failure
28,M_H_01,2024-01-02 11:00:00+00,H,297.50,308.80,1430,49.40,2,27,0,No Failure
29,M_H_01,2024-01-02 12:00:00+00,H,300.60,310.60,1419,39.60,3,28,0,No Failure
30,M_H_01,2024-01-02 13:00:00+00,H,302.20,311.30,1758,26.40,4,29,0,No Failure
31,M_H_01,2024-01-02 14:00:00+00,H,302.80,312.50,1422,46.10,4,30,0,No Failure
32,M_H_01,2024-01-02 15:00:00+00,H,298.80,308.80,1445,49.90,4,31,0,No Failure
33,M_H_01,2024-01-02 16:00:00+00,H,299.20,310.10,1542,36.10,5,32,0,No Failure
34,M_H_01,2024-01-02 17:00:00+00,H,298.00,308.70,1503,36.30,5,33,0,No Failure
35,M_H_02,2024-01-01 08:00:00+00,H,302.20,311.30,1749,29.20,5,0,0,No Failure
36,M_H_02,2024-01-01 09:00:00+00,H,298.30,309.30,1529,41.70,5,1,0,No Failure
37,M_H_02,2024-01-01 10:00:00+00,H,300.40,311.80,2496,13.50,5,2,0,No Failure
38,M_H_02,2024-01-01 11:00:00+00,H,297.90,309.20,1577,34.70,5,3,0,No Failure
39,M_H_02,2024-01-01 12:00:00+00,H,298.90,308.50,1415,54.00,6,4,0,No Failure
40,M_H_02,2024-01-01 13:00:00+00,H,298.10,308.40,1515,43.80,6,5,0,No Failure
41,M_H_02,2024-01-01 14:00:00+00,H,297.50,308.90,1419,50.70,7,6,0,No Failure
42,M_H_02,2024-01-01 15:00:00+00,H,297.70,307.10,1855,22.50,7,7,0,No Failure
43,M_H_02,2024-01-01 16:00:00+00,H,297.90,307.30,1663,28.70,7,8,0,No Failure
44,M_H_02,2024-01-01 17:00:00+00,H,297.50,308.60,1536,38.70,7,9,0,No Failure
45,M_H_02,2024-01-01 18:00:00+00,H,300.70,309.60,1390,48.50,7,10,0,No Failure
46,M_H_02,2024-01-01 19:00:00+00,H,300.30,311.60,1427,56.20,8,11,0,No Failure
47,M_H_02,2024-01-01 20:00:00+00,H,301.50,310.70,1790,26.20,8,12,0,No Failure
48,M_H_02,2024-01-01 21:00:00+00,H,297.90,309.10,1435,44.70,8,13,0,No Failure
49,M_H_02,2024-01-01 22:00:00+00,H,300.20,309.80,1374,47.70,8,14,0,No Failure
50,M_H_02,2024-01-01 23:00:00+00,H,298.30,308.90,1706,31.80,8,15,0,No Failure
51,M_H_02,2024-01-02 00:00:00+00,H,303.60,312.40,1436,45.60,9,16,0,No Failure
52,M_H_02,2024-01-02 01:00:00+00,H,300.70,310.20,1479,52.30,9,17,0,No Failure
53,M_H_02,2024-01-02 02:00:00+00,H,297.30,308.20,1653,31.40,9,18,0,No Failure
54,M_H_02,2024-01-02 03:00:00+00,H,299.20,309.10,1410,47.10,9,19,0,No Failure
55,M_H_02,2024-01-02 04:00:00+00,H,300.70,309.60,1925,20.50,9,20,0,No Failure
56,M_H_02,2024-01-02 05:00:00+00,H,299.40,309.30,1439,49.70,9,21,0,No Failure
57,M_H_02,2024-01-02 06:00:00+00,H,298.30,309.00,1470,38.40,10,22,0,No Failure
58,M_H_02,2024-01-02 07:00:00+00,H,300.50,311.60,1506,36.20,10,23,0,No Failure
59,M_H_02,2024-01-02 08:00:00+00,H,298.40,308.20,1612,32.60,10,24,0,No Failure
60,M_H_02,2024-01-02 09:00:00+00,H,297.80,309.40,1445,48.20,10,25,0,No Failure
61,M_H_02,2024-01-02 10:00:00+00,H,302.20,310.80,1397,47.60,11,26,0,No Failure
62,M_H_02,2024-01-02 11:00:00+00,H,301.40,310.30,1611,41.50,11,27,0,No Failure
63,M_H_02,2024-01-02 12:00:00+00,H,302.90,312.50,1357,55.00,12,28,0,Random Failures
64,M_H_02,2024-01-02 13:00:00+00,H,302.00,310.60,1438,43.20,12,29,0,No Failure
65,M_H_02,2024-01-02 14:00:00+00,H,300.70,310.30,1369,50.70,12,30,0,No Failure
66,M_H_02,2024-01-02 15:00:00+00,H,301.90,311.00,1672,29.90,13,31,0,No Failure
67,M_H_02,2024-01-02 16:00:00+00,H,297.80,307.90,1600,33.50,13,32,0,No Failure
68,M_H_02,2024-01-02 17:00:00+00,H,297.60,309.60,1428,46.60,13,33,0,No Failure
69,M_H_03,2024-01-01 08:00:00+00,H,297.50,308.60,1481,38.80,14,0,0,No Failure
70,M_H_03,2024-01-01 09:00:00+00,H,300.10,309.10,1560,35.40,14,1,0,No Failure
71,M_H_03,2024-01-01 10:00:00+00,H,298.80,308.20,1450,44.70,14,2,0,No Failure
72,M_H_03,2024-01-01 11:00:00+00,H,300.20,311.40,1319,54.60,15,3,0,No Failure
73,M_H_03,2024-01-01 12:00:00+00,H,298.40,308.30,1458,42.90,15,4,0,No Failure
74,M_H_03,2024-01-01 13:00:00+00,H,301.40,310.40,1610,38.60,16,5,0,No Failure
75,M_H_03,2024-01-01 14:00:00+00,H,299.10,308.30,1424,43.40,16,6,0,No Failure
76,M_H_03,2024-01-01 15:00:00+00,H,297.30,308.70,1438,46.20,16,7,0,No Failure
77,M_H_03,2024-01-01 16:00:00+00,H,298.60,309.60,1449,42.50,16,8,0,No Failure
78,M_H_03,2024-01-01 17:00:00+00,H,302.20,311.50,1482,42.60,16,9,0,No Failure
79,M_H_03,2024-01-01 18:00:00+00,H,297.30,308.40,1531,35.60,16,10,0,No Failure
80,M_H_03,2024-01-01 19:00:00+00,H,298.30,309.20,1486,42.40,16,11,0,No Failure
81,M_H_03,2024-01-01 20:00:00+00,H,300.60,311.70,1500,36.70,17,12,0,No Failure
82,M_H_03,2024-01-01 21:00:00+00,H,303.90,313.10,1790,26.70,17,13,0,No Failure
83,M_H_03,2024-01-01 22:00:00+00,H,298.90,308.40,1632,31.80,17,14,0,No Failure
84,M_H_03,2024-01-01 23:00:00+00,H,300.60,309.70,1470,43.80,18,15,0,No Failure
85,M_H_03,2024-01-02 00:00:00+00,H,298.40,307.90,1605,31.00,18,16,0,No Failure
86,M_H_03,2024-01-02 01:00:00+00,H,301.90,311.20,1474,41.80,18,17,0,No Failure
87,M_H_03,2024-01-02 02:00:00+00,H,302.40,312.00,1477,39.70,18,18,0,No Failure
88,M_H_03,2024-01-02 03:00:00+00,H,301.30,310.80,1434,39.50,18,19,0,No Failure
89,M_H_03,2024-01-02 04:00:00+00,H,297.70,307.30,1514,38.60,19,20,0,No Failure
90,M_H_03,2024-01-02 05:00:00+00,H,298.90,310.50,1429,39.90,19,21,0,No Failure
91,M_H_03,2024-01-02 06:00:00+00,H,298.00,307.80,1314,47.80,19,22,0,No Failure
92,M_H_03,2024-01-02 07:00:00+00,H,297.60,308.60,1480,39.80,19,23,0,No Failure
93,M_H_03,2024-01-02 08:00:00+00,H,299.70,310.30,1462,40.40,19,24,0,No Failure
94,M_H_03,2024-01-02 09:00:00+00,H,296.80,308.00,1311,58.60,19,25,0,No Failure
95,M_H_03,2024-01-02 10:00:00+00,H,301.00,311.20,1602,32.70,19,26,0,No Failure
96,M_H_03,2024-01-02 11:00:00+00,H,299.00,309.00,1436,43.90,20,27,0,No Failure
97,M_H_03,2024-01-02 12:00:00+00,H,297.70,309.70,1616,31.10,20,28,0,No Failure
98,M_H_03,2024-01-02 13:00:00+00,H,302.70,310.40,1305,55.20,20,29,1,Heat Dissipation Failure
99,M_H_03,2024-01-02 14:00:00+00,H,303.20,311.20,1475,43.10,20,30,0,No Failure
100,M_H_03,2024-01-02 15:00:00+00,H,301.00,310.90,1495,37.30,21,31,0,No Failure
101,M_H_03,2024-01-02 16:00:00+00,H,299.10,308.30,1451,42.80,21,32,0,No Failure
102,M_H_03,2024-01-02 17:00:00+00,H,296.90,307.50,1397,48.30,22,33,0,No Failure
103,M_H_04,2024-01-01 08:00:00+00,H,301.40,309.90,1460,47.20,22,0,0,No Failure
104,M_H_04,2024-01-01 09:00:00+00,H,297.80,309.00,1410,48.80,23,1,0,No Failure
105,M_H_04,2024-01-01 10:00:00+00,H,299.20,310.70,1636,29.40,23,2,0,No Failure
106,M_H_04,2024-01-01 11:00:00+00,H,302.40,312.00,1457,43.40,23,3,0,No Failure
107,M_H_04,2024-01-01 12:00:00+00,H,301.10,310.00,1470,40.10,23,4,0,No Failure
108,M_H_04,2024-01-01 13:00:00+00,H,298.20,309.00,1371,55.70,23,5,0,No Failure
109,M_H_04,2024-01-01 14:00:00+00,H,304.20,313.00,1442,40.90,23,6,0,No Failure
110,M_H_04,2024-01-01 15:00:00+00,H,297.60,309.00,1885,25.20,24,7,0,No Failure
111,M_H_04,2024-01-01 16:00:00+00,H,300.60,311.50,1282,60.20,24,8,0,No Failure
112,M_H_04,2024-01-01 17:00:00+00,H,300.60,309.40,1555,37.90,24,9,0,No Failure
113,M_H_04,2024-01-01 18:00:00+00,H,296.80,308.00,1453,51.00,24,10,0,No Failure
114,M_H_04,2024-01-01 19:00:00+00,H,298.40,308.90,1782,23.90,24,11,0,No Failure
115,M_H_04,2024-01-01 20:00:00+00,H,302.30,310.10,1383,42.90,24,12,0,No Failure
116,M_H_04,2024-01-01 21:00:00+00,H,297.30,308.30,1935,19.30,24,13,0,No Failure
117,M_H_04,2024-01-01 22:00:00+00,H,300.50,310.50,1403,47.70,24,14,0,No Failure
118,M_H_04,2024-01-01 23:00:00+00,H,300.80,311.90,1431,48.50,25,15,0,No Failure
119,M_H_04,2024-01-02 00:00:00+00,H,302.70,310.80,1275,55.00,25,16,1,Heat Dissipation Failure
120,M_H_04,2024-01-02 01:00:00+00,H,301.20,309.90,1362,50.70,25,17,0,No Failure
121,M_H_04,2024-01-02 02:00:00+00,H,299.30,310.40,1548,41.60,25,18,0,No Failure
122,M_H_04,2024-01-02 03:00:00+00,H,302.60,311.70,1471,48.30,25,19,0,No Failure
123,M_H_04,2024-01-02 04:00:00+00,H,299.00,308.70,1408,48.50,25,20,0,No Failure
124,M_H_04,2024-01-02 05:00:00+00,H,297.70,307.20,1429,44.10,26,21,0,No Failure
125,M_H_04,2024-01-02 06:00:00+00,H,300.40,311.30,2026,20.30,26,22,0,No Failure
126,M_H_04,2024-01-02 07:00:00+00,H,298.00,307.50,1683,27.80,26,23,0,No Failure
127,M_H_04,2024-01-02 08:00:00+00,H,300.70,310.70,1428,43.40,26,24,0,No Failure
128,M_H_04,2024-01-02 09:00:00+00,H,302.70,312.50,1527,36.40,26,25,0,No Failure
129,M_H_04,2024-01-02 10:00:00+00,H,302.90,312.30,1417,48.70,26,26,0,No Failure
130,M_H_04,2024-01-02 11:00:00+00,H,304.20,313.30,1625,37.30,27,27,0,No Failure
131,M_H_04,2024-01-02 12:00:00+00,H,298.60,309.50,1584,31.80,27,28,0,No Failure
132,M_H_04,2024-01-02 13:00:00+00,H,300.20,311.50,1515,36.80,27,29,0,No Failure
133,M_H_04,2024-01-02 14:00:00+00,H,299.30,310.40,1510,45.50,27,30,0,No Failure
134,M_H_04,2024-01-02 15:00:00+00,H,300.60,311.10,1452,40.20,28,31,0,No Failure
135,M_H_04,2024-01-02 16:00:00+00,H,302.70,310.50,1568,36.90,28,32,0,No Failure
136,M_H_04,2024-01-02 17:00:00+00,H,296.20,307.00,1542,40.60,28,33,0,No Failure
137,M_H_05,2024-01-01 08:00:00+00,H,300.10,309.40,1563,40.80,28,0,0,No Failure
138,M_H_05,2024-01-01 09:00:00+00,H,298.30,309.10,1484,37.00,28,1,0,No Failure
139,M_H_05,2024-01-01 10:00:00+00,H,298.50,308.70,1450,43.90,28,2,0,No Failure
140,M_H_05,2024-01-01 11:00:00+00,H,297.50,308.40,1793,23.90,28,3,0,No Failure
141,M_H_05,2024-01-01 12:00:00+00,H,300.30,311.50,1464,41.00,29,4,0,No Failure
142,M_H_05,2024-01-01 13:00:00+00,H,298.60,309.10,1423,44.30,29,5,0,No Failure
143,M_H_05,2024-01-01 14:00:00+00,H,300.70,309.50,1667,30.50,29,6,0,No Failure
144,M_H_05,2024-01-01 15:00:00+00,H,297.80,309.20,1648,33.00,29,7,0,No Failure
145,M_H_05,2024-01-01 16:00:00+00,H,299.20,310.50,1329,48.90,30,8,0,No Failure
146,M_H_05,2024-01-01 17:00:00+00,H,298.80,309.90,1526,42.10,30,9,0,No Failure
147,M_H_05,2024-01-01 18:00:00+00,H,301.00,310.00,1212,67.90,30,10,0,No Failure
148,M_H_05,2024-01-01 19:00:00+00,H,301.60,310.40,1330,49.50,30,11,0,No Failure
149,M_H_05,2024-01-01 20:00:00+00,H,302.20,311.80,1330,62.40,31,12,0,No Failure
150,M_H_05,2024-01-01 21:00:00+00,H,300.90,310.80,1477,38.40,31,13,0,No Failure
151,M_H_05,2024-01-01 22:00:00+00,H,298.90,309.90,1376,51.00,32,14,0,No Failure
152,M_H_05,2024-01-01 23:00:00+00,H,300.80,310.90,1425,44.00,33,15,0,No Failure
153,M_H_05,2024-01-02 00:00:00+00,H,296.10,306.90,1541,32.60,33,16,0,No Failure
154,M_H_05,2024-01-02 01:00:00+00,H,296.80,307.50,1695,30.00,33,17,0,No Failure
155,M_H_05,2024-01-02 02:00:00+00,H,301.50,310.80,1591,29.60,33,18,0,No Failure
156,M_H_05,2024-01-02 03:00:00+00,H,300.10,311.50,1383,49.10,33,19,0,No Failure
157,M_H_05,2024-01-02 04:00:00+00,H,304.10,313.30,1397,49.60,34,20,0,No Failure
158,M_H_05,2024-01-02 05:00:00+00,H,298.20,308.80,1837,28.40,34,21,0,No Failure
159,M_H_05,2024-01-02 06:00:00+00,H,303.30,311.20,1607,31.70,34,22,0,No Failure
160,M_H_05,2024-01-02 07:00:00+00,H,297.50,308.40,1490,39.70,34,23,0,No Failure
161,M_H_05,2024-01-02 08:00:00+00,H,298.80,309.80,1510,44.20,35,24,0,No Failure
162,M_H_05,2024-01-02 09:00:00+00,H,299.60,309.20,1597,36.30,35,25,0,No Failure
163,M_H_05,2024-01-02 10:00:00+00,H,301.20,310.70,1747,27.30,35,26,0,No Failure
164,M_H_05,2024-01-02 11:00:00+00,H,301.60,310.50,1786,27.10,35,27,0,No Failure
165,M_H_05,2024-01-02 12:00:00+00,H,303.50,312.30,1386,49.00,35,28,0,No Failure
166,M_H_05,2024-01-02 13:00:00+00,H,298.60,308.80,1566,39.10,36,29,0,No Failure
167,M_H_05,2024-01-02 14:00:00+00,H,298.20,309.00,1562,37.70,36,30,0,No Failure
168,M_H_05,2024-01-02 15:00:00+00,H,300.60,309.40,1691,28.00,36,31,0,No Failure
169,M_H_05,2024-01-02 16:00:00+00,H,298.60,308.20,1555,36.80,36,32,0,No Failure
170,M_H_05,2024-01-02 17:00:00+00,H,297.40,308.20,1585,46.20,37,33,0,No Failure
171,M_H_06,2024-01-01 08:00:00+00,H,300.10,311.60,1589,37.90,37,0,0,No Failure
172,M_H_06,2024-01-01 09:00:00+00,H,300.00,309.40,1498,38.50,37,1,0,No Failure
173,M_H_06,2024-01-01 10:00:00+00,H,298.00,308.10,1440,43.70,37,2,0,No Failure
174,M_H_06,2024-01-01 11:00:00+00,H,302.60,312.00,1657,29.30,37,3,0,No Failure
175,M_H_06,2024-01-01 12:00:00+00,H,298.70,310.10,1435,45.60,37,4,0,No Failure
176,M_H_06,2024-01-01 13:00:00+00,H,303.30,311.30,1502,39.50,38,5,0,No Failure
177,M_H_06,2024-01-01 14:00:00+00,H,300.90,311.90,1513,38.00,38,6,0,No Failure
178,M_H_06,2024-01-01 15:00:00+00,H,300.80,311.40,1453,44.60,38,7,0,No Failure
179,M_H_06,2024-01-01 16:00:00+00,H,302.30,311.80,1475,42.80,38,8,0,No Failure
180,M_H_06,2024-01-01 17:00:00+00,H,302.20,310.00,1468,43.60,38,9,0,No Failure
181,M_H_06,2024-01-01 18:00:00+00,H,300.80,310.30,1777,30.10,38,10,0,No Failure
182,M_H_06,2024-01-01 19:00:00+00,H,296.70,307.50,1607,33.60,38,11,0,No Failure
183,M_H_06,2024-01-01 20:00:00+00,H,298.60,309.50,1375,41.00,39,12,0,No Failure
184,M_H_06,2024-01-01 21:00:00+00,H,300.90,310.70,1609,28.70,39,13,0,No Failure
185,M_H_06,2024-01-01 22:00:00+00,H,301.40,310.10,1623,32.30,39,14,0,No Failure
186,M_H_06,2024-01-01 23:00:00+00,H,300.80,311.70,1468,38.70,39,15,0,No Failure
187,M_H_06,2024-01-02 00:00:00+00,H,299.40,309.30,1534,37.50,39,16,0,No Failure
188,M_H_06,2024-01-02 01:00:00+00,H,298.50,309.20,1568,40.60,39,17,0,No Failure
189,M_H_06,2024-01-02 02:00:00+00,H,303.40,312.30,1769,27.90,40,18,0,No Failure
190,M_H_06,2024-01-02 03:00:00+00,H,300.50,309.40,1502,34.30,40,19,0,No Failure
191,M_H_06,2024-01-02 04:00:00+00,H,299.10,308.30,1521,36.50,40,20,0,No Failure
192,M_H_06,2024-01-02 05:00:00+00,H,298.80,309.90,1439,45.20,40,21,1,No Failure
193,M_H_06,2024-01-02 06:00:00+00,H,298.20,308.70,1520,35.70,40,22,0,No Failure
194,M_H_06,2024-01-02 07:00:00+00,H,299.50,309.10,1548,44.30,40,23,0,No Failure
195,M_H_06,2024-01-02 08:00:00+00,H,300.80,310.80,1618,32.80,40,24,0,No Failure
196,M_H_06,2024-01-02 09:00:00+00,H,300.40,311.90,1438,46.70,41,25,0,Random Failures
197,M_H_06,2024-01-02 10:00:00+00,H,296.10,306.80,1645,31.00,41,26,0,No Failure
198,M_H_06,2024-01-02 11:00:00+00,H,297.60,309.00,1735,26.40,41,27,0,No Failure
199,M_H_06,2024-01-02 12:00:00+00,H,302.20,311.60,1534,37.20,41,28,0,No Failure
200,M_H_06,2024-01-02 13:00:00+00,H,301.70,310.20,1620,30.80,42,29,0,No Failure
201,M_H_06,2024-01-02 14:00:00+00,H,301.00,310.90,1916,22.00,42,30,0,No Failure
202,M_H_06,2024-01-02 15:00:00+00,H,300.70,310.60,1631,32.60,43,31,0,No Failure
203,M_H_06,2024-01-02 16:00:00+00,H,301.10,311.30,2207,16.60,43,32,0,No Failure
204,M_H_06,2024-01-02 17:00:00+00,H,302.30,310.20,1506,33.80,43,33,0,No Failure
205,M_H_07,2024-01-01 08:00:00+00,H,300.90,311.90,2140,16.50,43,0,0,No Failure
206,M_H_07,2024-01-01 09:00:00+00,H,303.20,311.40,1607,36.60,43,1,0,No Failure
207,M_H_07,2024-01-01 10:00:00+00,H,301.50,310.50,1538,44.30,43,2,0,No Failure
208,M_H_07,2024-01-01 11:00:00+00,H,302.30,311.80,1804,25.00,43,3,0,No Failure
209,M_H_07,2024-01-01 12:00:00+00,H,297.60,308.30,1400,44.30,43,4,0,No Failure
210,M_H_07,2024-01-01 13:00:00+00,H,302.50,311.50,1626,36.00,44,5,0,No Failure
211,M_H_07,2024-01-01 14:00:00+00,H,303.30,311.80,1806,27.70,44,6,0,No Failure
212,M_H_07,2024-01-01 15:00:00+00,H,297.90,308.00,1800,24.80,44,7,0,No Failure
213,M_H_07,2024-01-01 16:00:00+00,H,297.90,308.90,1416,39.60,45,8,0,No Failure
214,M_H_07,2024-01-01 17:00:00+00,H,300.00,311.20,1393,43.10,45,9,0,No Failure
215,M_H_07,2024-01-01 18:00:00+00,H,300.60,311.90,1604,30.50,45,10,0,No Failure
216,M_H_07,2024-01-01 19:00:00+00,H,299.00,310.10,1432,50.00,45,11,0,No Failure
217,M_H_07,2024-01-01 20:00:00+00,H,302.10,311.60,1701,26.20,46,12,0,No Failure
218,M_H_07,2024-01-01 21:00:00+00,H,297.60,309.00,1354,55.60,46,13,0,No Failure
219,M_H_07,2024-01-01 22:00:00+00,H,299.30,308.60,1498,39.50,47,14,0,No Failure
220,M_H_07,2024-01-01 23:00:00+00,H,302.80,311.00,1436,43.50,47,15,0,No Failure
221,M_H_07,2024-01-02 00:00:00+00,H,297.70,307.30,1249,62.80,47,16,0,No Failure
222,M_H_07,2024-01-02 01:00:00+00,H,300.70,311.70,1864,23.60,47,17,0,No Failure
223,M_H_07,2024-01-02 02:00:00+00,H,302.30,311.50,1526,38.20,47,18,0,No Failure
224,M_H_07,2024-01-02 03:00:00+00,H,297.50,308.50,1557,39.10,47,19,0,No Failure
225,M_H_07,2024-01-02 04:00:00+00,H,297.80,307.80,1662,30.70,48,20,0,No Failure
226,M_H_07,2024-01-02 05:00:00+00,H,298.10,309.10,1425,44.50,49,21,0,No Failure
227,M_H_07,2024-01-02 06:00:00+00,H,298.20,308.30,1824,24.20,49,22,0,No Failure
228,M_H_07,2024-01-02 07:00:00+00,H,301.70,310.10,1462,38.30,49,23,0,No Failure
229,M_H_07,2024-01-02 08:00:00+00,H,303.30,311.80,1649,29.40,49,24,0,No Failure
230,M_H_07,2024-01-02 09:00:00+00,H,301.40,310.60,1674,33.60,49,25,0,No Failure
231,M_H_07,2024-01-02 10:00:00+00,H,297.60,308.70,1659,32.10,49,26,0,No Failure
232,M_H_07,2024-01-02 11:00:00+00,H,300.90,310.50,1512,41.20,49,27,0,No Failure
233,M_H_07,2024-01-02 12:00:00+00,H,299.90,311.20,1364,49.60,50,28,0,No Failure
234,M_H_07,2024-01-02 13:00:00+00,H,299.40,309.10,1547,40.90,50,29,0,No Failure
235,M_H_07,2024-01-02 14:00:00+00,H,296.70,307.90,1579,33.40,50,30,0,No Failure
236,M_H_07,2024-01-02 15:00:00+00,H,300.10,311.40,1377,56.70,50,31,0,No Failure
237,M_H_07,2024-01-02 16:00:00+00,H,303.30,311.40,1651,30.60,50,32,0,No Failure
238,M_H_07,2024-01-02 17:00:00+00,H,298.80,309.20,1306,54.50,50,33,0,No Failure
239,M_H_08,2024-01-01 08:00:00+00,H,301.60,310.90,1419,50.20,51,0,0,No Failure
240,M_H_08,2024-01-01 09:00:00+00,H,297.60,309.00,1413,40.20,51,1,0,No Failure
241,M_H_08,2024-01-01 10:00:00+00,H,298.40,309.40,1512,35.30,51,2,0,No Failure
242,M_H_08,2024-01-01 11:00:00+00,H,298.00,308.00,1520,39.60,51,3,0,No Failure
243,M_H_08,2024-01-01 12:00:00+00,H,302.30,311.40,1443,44.10,51,4,0,No Failure
244,M_H_08,2024-01-01 13:00:00+00,H,301.10,312.20,1491,42.60,52,5,0,No Failure
245,M_H_08,2024-01-01 14:00:00+00,H,304.10,313.20,1590,43.40,52,6,0,No Failure
246,M_H_08,2024-01-01 15:00:00+00,H,298.30,308.00,1553,41.00,52,7,0,No Failure
247,M_H_08,2024-01-01 16:00:00+00,H,302.60,310.40,1409,53.30,52,8,0,No Failure
248,M_H_08,2024-01-01 17:00:00+00,H,298.70,309.70,1311,54.50,52,9,0,No Failure
249,M_H_08,2024-01-01 18:00:00+00,H,303.40,311.70,1991,19.00,53,10,0,No Failure
250,M_H_08,2024-01-01 19:00:00+00,H,298.80,310.00,1530,38.30,53,11,0,No Failure
251,M_H_08,2024-01-01 20:00:00+00,H,298.70,308.40,1560,33.30,53,12,0,No Failure
252,M_H_08,2024-01-01 21:00:00+00,H,298.00,309.40,1490,40.50,53,13,0,No Failure
253,M_H_08,2024-01-01 22:00:00+00,H,298.20,308.80,1606,39.90,53,14,0,No Failure
254,M_H_08,2024-01-01 23:00:00+00,H,297.50,308.30,1674,30.00,54,15,0,No Failure
255,M_H_08,2024-01-02 00:00:00+00,H,303.70,312.80,1488,42.80,54,16,0,No Failure
256,M_H_08,2024-01-02 01:00:00+00,H,298.60,309.70,1672,27.50,54,17,0,No Failure
257,M_H_08,2024-01-02 02:00:00+00,H,303.40,311.90,1402,50.00,54,18,0,No Failure
258,M_H_08,2024-01-02 03:00:00+00,H,300.40,309.30,1396,51.20,54,19,0,No Failure
259,M_H_08,2024-01-02 04:00:00+00,H,297.30,308.30,1506,37.00,54,20,0,No Failure
260,M_H_08,2024-01-02 05:00:00+00,H,300.60,310.60,1448,44.70,55,21,0,No Failure
261,M_H_08,2024-01-02 06:00:00+00,H,299.00,308.20,1662,30.40,55,22,0,No Failure
262,M_H_08,2024-01-02 07:00:00+00,H,300.00,310.10,1714,28.70,55,23,0,No Failure
263,M_H_08,2024-01-02 08:00:00+00,H,295.90,306.50,1594,33.20,55,24,0,No Failure
264,M_H_08,2024-01-02 09:00:00+00,H,303.30,311.40,1692,27.90,55,25,0,No Failure
265,M_H_08,2024-01-02 10:00:00+00,H,298.80,310.20,1707,27.60,56,26,0,No Failure
266,M_H_08,2024-01-02 11:00:00+00,H,298.80,310.10,1380,44.00,56,27,0,No Failure
267,M_H_08,2024-01-02 12:00:00+00,H,298.60,309.40,1362,45.30,56,28,0,No Failure
268,M_H_08,2024-01-02 13:00:00+00,H,297.50,308.50,1393,46.60,56,29,0,No Failure
269,M_H_08,2024-01-02 14:00:00+00,H,301.50,310.50,1587,33.80,57,30,0,No Failure
270,M_H_08,2024-01-02 15:00:00+00,H,303.60,312.70,1403,46.20,57,31,0,No Failure
271,M_H_08,2024-01-02 16:00:00+00,H,298.40,308.40,1479,39.20,58,32,0,No Failure
